Waypoint,Notes,ProcedureType,Procedure Name,Airport,State Location (from Airport),Waypoint Coordinates,ICAOCode (from Airport),AirportName (from Airport),State,Airports,ProcedureNames (from Procedure Name)
BRBBQ,Memphis is known for their BBQ,STAR,BRBBQ TWO,Memphis International Airport,Tennessee,35.50°N/90.89°W,KMEM,Memphis International Airport,,Airport Name,BRBBQ TWO
AUTMN,A thematic name relating to the season. Memphis experiences vibrant seasonal changes that are celebrated locally.,SID,AUTMN SIX,Memphis International Airport,Tennessee,34.61°N/90.63°W,KMEM,Memphis International Airport,,,AUTMN SIX
PRYMD,"The Memphis Pyramid, originally a sports arena and now housing a Bass Pro Shop, is an iconic part of the city's skyline.",SID,"AUTMN SIX,BINKY SIX,CHLDR FIVE,DUCKZ FIVE,OLEMS SIX,PIEPE SIX",Memphis International Airport,Tennessee,35.15°N/90.14°W,KMEM,Memphis International Airport,,,"AUTMN SIX, BINKY SIX, CHLDR FIVE, DUCKZ FIVE, OLEMS SIX, PIEPE SIX"
BEEAL,"One of the most famous streets in Memphis, known for its blues music and nightlife.",SID,"AUTMN SIX,BINKY SIX,CHLDR FIVE,DUCKZ FIVE,HOTRD FIVE,NIKEI FIVE,OLEMS SIX,PIEPE SIX",Memphis International Airport,Tennessee,35.14°N/90.04°W,KMEM,Memphis International Airport,,,"AUTMN SIX, BINKY SIX, CHLDR FIVE, DUCKZ FIVE, HOTRD FIVE, NIKEI FIVE, OLEMS SIX, PIEPE SIX"
HURTN,A historically significant public housing project in Memphis.,SID,"AUTMN SIX,BINKY SIX",Memphis International Airport,Tennessee,34.88°N/89.99°W,KMEM,Memphis International Airport,,,"AUTMN SIX, BINKY SIX"
STJUD,"St. Jude Children's Research Hospital is a pediatric treatment and research hospital headquartered in Memphis, Tennessee. Founded by entertainer Danny Thomas in 1962, it is a 501 designated nonprofit medical corporation which focuses on children's catastrophic diseases, particularly leukemia and other cancers.",SID,"AZONE SEVEN,BBKNG SEVEN,GMBUD SEVEN",Memphis International Airport,Tennessee,35.12°N/89.75°W,KMEM,Memphis International Airport,,,"AZONE SEVEN, BBKNG SEVEN, GMBUD SEVEN"
RIBZZ,A reference to Memphis's famous barbecue ribs and its reputation as a top destination for barbecue,SID,"AZONE SEVEN,BBKNG SEVEN,CRSON SEVEN,GENEH SEVEN,GMBUD SEVEN,GOETZ SEVEN,SELPH SEVEN",Memphis International Airport,Tennessee,34.93°N/89.95°W,KMEM,Memphis International Airport,,,"AZONE SEVEN, BBKNG SEVEN, CRSON SEVEN, GENEH SEVEN, GMBUD SEVEN, GOETZ SEVEN, SELPH SEVEN"
BBKNG,"B.B. King, the legendary blues musician who has deep ties to Memphis. B.B. King is an iconic figure in the city’s music history, and this fix honors his legacy.",SID,BBKNG SEVEN,Memphis International Airport,Tennessee,34.90°N/89.14°W,KMEM,Memphis International Airport,,,BBKNG SEVEN
CHLDR,"A reference to Children, which is connect to St. Jude Children's Research Hospital in Memphis",SID,CHLDR FIVE,Memphis International Airport,Tennessee,34.89°N/90.80°W,KMEM,Memphis International Airport,,,CHLDR FIVE
MUDHO,"While not verified, likely a nod to Memphis's nickname, ""The City on the Bluffs,"" referencing its location on the muddy Mississippi River.",SID,"CHLDR FIVE,DUCKZ FIVE,GRRIZ FIVE,HOTRD FIVE,JTEEE FIVE,NIKEI FIVE",Memphis International Airport,Tennessee,34.94°N/90.11°W,KMEM,Memphis International Airport,,,"CHLDR FIVE, DUCKZ FIVE, GRRIZ FIVE, HOTRD FIVE, JTEEE FIVE, NIKEI FIVE"
DUCKZ,"A nod to the Peabody Ducks, a famous Memphis tradition at the Peabody Hotel, where ducks march to and from the hotel lobby fountain daily.",SID,DUCKZ FIVE,Memphis International Airport,Tennessee,35.02°N/90.82°W,KMEM,Memphis International Airport,,,DUCKZ FIVE
HELAR,"Might symbolize ""healer,"" subtly tying to Memphis's medical institutions, such as St. Jude Children's Research Hospital.",SID,DUCKZ FIVE,Memphis International Airport,Tennessee,35.02°N/90.86°W,KMEM,Memphis International Airport,,,DUCKZ FIVE
THMUS,"shorthand for Thomas, possibly referring to Danny Thomas, the founder of St. Jude Children’s Research Hospital, a",SID,GOETZ SEVEN,Memphis International Airport,Tennessee,35.20°N/89.49°W,KMEM,Memphis International Airport,,,GOETZ SEVEN
GRRIZ,"Reference to the Memphis Grizzlies, the city’s NBA basketball team.",SID,GRRIZ FIVE,Memphis International Airport,Tennessee,35.70°N/90.32°W,KMEM,Memphis International Airport,,,GRRIZ FIVE
OLEMS,"While not directly related to Memphis, TN, this fix is almost directly over Ole Miss (the University of Mississippi)",SID,OLEMS SIX,Memphis International Airport,Tennessee,34.49°N/89.67°W,KMEM,Memphis International Airport,,,OLEMS SIX
BEBIE,"B.B. King, the legendary blues musician deeply tied to Memphis",SID,PIEPE SIX,Memphis International Airport,Tennessee,34.28ºN/90.05ºW,KMEM,Memphis International Airport,,,PIEPE SIX